更新时间: 2026-04-11 05:03:42（北京时间）

更新时间,#genre#
2026-04-11 05:03:42,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
怀旧剧场,http://180.173.121.65:9999/rtp/233.18.204.182:5140$上海市电信
怀旧剧场,http://116.237.61.115:4022/rtp/233.18.204.182:5140$上海市电信
怀旧剧场,http://106.116.240.74:9999/rtp/239.254.201.220:7256$河北省电信
第一剧场,http://180.173.121.65:9999/rtp/233.18.204.184:5140$上海市电信
第一剧场,http://116.237.61.115:4022/rtp/233.18.204.184:5140$上海市电信
第一剧场,http://106.116.240.74:9999/rtp/239.254.201.218:7258$河北省电信
女性时尚,http://180.173.121.65:9999/rtp/233.18.204.180:5140$上海市电信
女性时尚,http://116.237.61.115:4022/rtp/233.18.204.180:5140$上海市电信
女性时尚,http://106.116.240.74:9999/rtp/239.254.201.228:7255$河北省电信
世界地理,http://180.173.121.65:9999/rtp/233.18.204.179:5140$上海市电信
世界地理,http://116.237.61.115:4022/rtp/233.18.204.179:5140$上海市电信
世界地理,http://106.116.240.74:9999/rtp/239.254.201.226:7254$河北省电信
央视台球,http://180.173.121.65:9999/rtp/233.18.204.177:5140$上海市电信
央视台球,http://116.237.61.115:4022/rtp/233.18.204.177:5140$上海市电信
央视台球,http://106.116.240.74:9999/rtp/239.254.201.171:7176$河北省电信
高尔夫网球,http://180.173.121.65:9999/rtp/233.18.204.181:5140$上海市电信
高尔夫网球,http://116.237.61.115:4022/rtp/233.18.204.181:5140$上海市电信
高尔夫网球,http://106.116.240.74:9999/rtp/239.254.201.223:7252$河北省电信
央视文化精品,http://180.173.121.65:9999/rtp/233.18.204.186:5140$上海市电信
央视文化精品,http://116.237.61.115:4022/rtp/233.18.204.186:5140$上海市电信
央视文化精品,http://106.116.240.74:9999/rtp/239.254.201.229:7260$河北省电信
电视指南,http://106.116.240.74:9999/rtp/239.254.201.217:7250$河北省电信
中学生,http://27.10.95.231:4022/rtp/225.0.4.184:7980$重庆市联通
中学生,http://27.14.208.229:8000/rtp/225.0.4.184:7980$重庆市联通
中学生,http://106.116.240.74:9999/rtp/239.254.200.113:6243$河北省电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://27.10.95.231:4022/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.10.95.231:4022/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://115.171.216.58:4000/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://27.14.208.229:8000/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.14.208.229:8000/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://180.173.121.65:9999/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://116.237.61.115:4022/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://116.237.61.115:4022/rtp/233.18.204.86:5140$上海市电信
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
浙江卫视,http://27.10.95.231:4022/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://27.10.95.231:4022/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://115.171.216.58:4000/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://27.14.208.229:8000/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://27.14.208.229:8000/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://180.173.121.65:9999/rtp/233.18.204.84:5140$上海市电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://116.237.61.115:4022/rtp/233.18.204.229:5140$上海市电信
